date,name,percentage
2019-12-01,NVIDIA,0.6935
2019-12-01,Other,0.1131
2020-01-01,AMD,0.1089
2020-01-01,Intel,0.0893
2020-01-01,NVIDIA,0.6920999999999999
2020-01-01,Other,0.1073
2020-02-01,AMD,0.112
2020-02-01,Intel,0.0986
2020-02-01,NVIDIA,0.6861
2020-02-01,Other,0.1018
2020-03-01,AMD,0.11120000000000001
2020-03-01,Intel,0.1071
2020-03-01,NVIDIA,0.6804
2020-03-01,Other,0.0991
2020-04-01,AMD,0.11309999999999999
2020-04-01,Intel,0.1126
2020-04-01,NVIDIA,0.668
2020-04-01,Other,0.1042
2020-05-01,AMD,0.1156
2020-05-01,Intel,0.1147
2020-05-01,NVIDIA,0.6621
2020-05-01,Other,0.1054
2020-06-01,AMD,0.1181
2020-06-01,Intel,0.10099999999999999
2020-06-01,NVIDIA,0.6744
2020-06-01,Other,0.1041
2020-07-01,AMD,0.1183
2020-07-01,Intel,0.0952
2020-07-01,NVIDIA,0.6785
2020-07-01,Other,0.1059
2020-08-01,AMD,0.1185
2020-08-01,Intel,0.09570000000000001
2020-08-01,NVIDIA,0.6786
2020-08-01,Other,0.1055
2020-09-01,AMD,0.119
2020-09-01,Intel,0.0969
2020-09-01,NVIDIA,0.6776
2020-09-01,Other,0.1049
2020-10-01,AMD,0.12
2020-10-01,Intel,0.0974
2020-10-01,NVIDIA,0.6766
2020-10-01,Other,0.1043
2020-11-01,AMD,0.121
2020-11-01,Intel,0.0911
2020-11-01,NVIDIA,0.6822
2020-11-01,Other,0.1034
2020-12-01,AMD,0.0999
2020-12-01,Intel,0.0712
2020-12-01,NVIDIA,0.7219
2020-12-01,Other,0.1067
2021-01-01,AMD,0.1206
2021-01-01,Intel,0.0867
2021-01-01,NVIDIA,0.6856
2021-01-01,Other,0.1054
2021-02-01,AMD,0.1188
2021-02-01,Intel,0.0814
2021-02-01,NVIDIA,0.6914
2021-02-01,Other,0.1069
2021-03-01,AMD,0.1212
2021-03-01,Intel,0.0757
2021-03-01,NVIDIA,0.6960999999999999
2021-03-01,Other,0.105
2021-04-01,AMD,0.1196
2021-04-01,Intel,0.0699
2021-04-01,NVIDIA,0.7009
2021-04-01,Other,0.1081
2021-05-01,AMD,0.1229
2021-05-01,Intel,0.0731
2021-05-01,NVIDIA,0.6965
2021-05-01,Other,0.1055
2021-06-01,AMD,0.1086
2021-06-01,Intel,0.076
2021-06-01,NVIDIA,0.706
2021-06-01,Other,0.1077
2021-07-01,AMD,0.111
2021-07-01,Intel,0.08259999999999999
2021-07-01,NVIDIA,0.6916
2021-07-01,Other,0.1131
2021-08-01,AMD,0.099
2021-08-01,Intel,0.0717
2021-08-01,NVIDIA,0.7142000000000001
2021-08-01,Other,0.1128
2021-09-01,AMD,0.1096
2021-09-01,Intel,0.0762
2021-09-01,NVIDIA,0.7033
2021-09-01,Other,0.1088
2021-10-01,AMD,0.1138
2021-10-01,Intel,0.0768
2021-10-01,NVIDIA,0.6952
2021-10-01,Other,0.1121
2021-11-01,AMD,0.1121
2021-11-01,Intel,0.0772
2021-11-01,NVIDIA,0.6988
2021-11-01,Other,0.1098
2021-12-01,AMD,0.1057
2021-12-01,Intel,0.0721
2021-12-01,NVIDIA,0.7064
2021-12-01,Other,0.1083
2022-01-01,AMD,0.1064
2022-01-01,Intel,0.0752
2022-01-01,NVIDIA,0.6973
2022-01-01,Other,0.1116
2022-02-01,AMD,0.1001
2022-02-01,Intel,0.0711
2022-02-01,NVIDIA,0.7067
2022-02-01,Other,0.1123
2022-03-01,AMD,0.0979
2022-03-01,Intel,0.07
2022-03-01,NVIDIA,0.7168
2022-03-01,Other,0.106
2022-04-01,AMD,0.1037
2022-04-01,Intel,0.0721
2022-04-01,NVIDIA,0.7073
2022-04-01,Other,0.1067
2022-05-01,AMD,0.1064
2022-05-01,Intel,0.0633
2022-05-01,NVIDIA,0.7214
2022-05-01,Other,0.0998
2022-06-01,AMD,0.1021
2022-06-01,Intel,0.07390000000000001
2022-06-01,NVIDIA,0.7061999999999999
2022-06-01,Other,0.1078
2022-07-01,AMD,0.1095
2022-07-01,Intel,0.0491
2022-07-01,NVIDIA,0.7394999999999999
2022-07-01,Other,0.0945
2022-08-01,AMD,0.1051
2022-08-01,Intel,0.07379999999999999
2022-08-01,NVIDIA,0.7085
2022-08-01,Other,0.1004
2022-09-01,AMD,0.1041
2022-09-01,Intel,0.066
2022-09-01,NVIDIA,0.7218
2022-09-01,Other,0.0963
2022-10-01,AMD,0.092
2022-10-01,Intel,0.0612
2022-10-01,NVIDIA,0.7357
2022-10-01,Other,0.0996
2022-11-01,AMD,0.1091
2022-11-01,Intel,0.0713
2022-11-01,NVIDIA,0.7057
2022-11-01,Other,0.101
2022-12-01,AMD,0.1062
2022-12-01,Intel,0.0765
2022-12-01,NVIDIA,0.7031000000000001
2022-12-01,Other,0.1011
2023-01-01,AMD,0.111
2023-01-01,Intel,0.0785
2023-01-01,NVIDIA,0.6936
2023-01-01,Other,0.1031
2023-02-01,AMD,0.104
2023-02-01,Intel,0.06810000000000001
2023-02-01,NVIDIA,0.7105
2023-02-01,Other,0.1042
2023-03-01,AMD,0.0605
2023-03-01,Intel,0.0314
2023-03-01,NVIDIA,0.803
2023-03-01,Other,0.0976
2023-04-01,AMD,0.107
2023-04-01,Intel,0.0681
2023-04-01,NVIDIA,0.71
2023-04-01,Other,0.1017
